epsilon,method,Accuracy,Accuracy_std,F1,F1_std,SSIM,SSIM_std,AttackSuccessRate,AttackSuccessRate_std
0.1,Pixel-Gaussian,45.2,1.8,48.5,2.1,0.218,0.012,0.232,0.018
0.1,Embedding-Laplace,55.6,1.4,59.2,1.6,0.192,0.011,0.198,0.013
0.1,vMF-Ours,62.4,1.2,65.8,1.4,0.124,0.009,0.154,0.011
0.2,Pixel-Gaussian,52.4,1.6,55.8,1.8,0.272,0.014,0.294,0.016
0.2,Embedding-Laplace,61.8,1.3,64.9,1.4,0.245,0.012,0.255,0.014
0.2,vMF-Ours,68.5,1.1,71.4,1.2,0.184,0.011,0.208,0.012
0.5,Pixel-Gaussian,61.2,1.2,64.5,1.4,0.415,0.018,0.424,0.016
0.5,Embedding-Laplace,68.5,1.1,71.6,1.2,0.382,0.016,0.384,0.016
0.5,vMF-Ours,73.6,0.9,76.5,1.0,0.285,0.013,0.305,0.014
1.0,Pixel-Gaussian,69.5,1.0,72.4,1.1,0.525,0.019,0.542,0.018
1.0,Embedding-Laplace,73.2,0.9,76.2,1.0,0.482,0.017,0.498,0.017
1.0,vMF-Ours,76.8,0.8,79.5,0.9,0.392,0.015,0.412,0.015
2.0,Pixel-Gaussian,74.2,0.8,76.8,0.9,0.712,0.021,0.695,0.019
2.0,Embedding-Laplace,76.5,0.8,79.1,0.8,0.665,0.019,0.645,0.018
2.0,vMF-Ours,78.2,0.7,80.8,0.7,0.542,0.017,0.554,0.017
5.0,Pixel-Gaussian,77.5,0.6,80.2,0.7,0.885,0.012,0.875,0.012
5.0,Embedding-Laplace,78.4,0.5,81.2,0.6,0.872,0.011,0.884,0.011
5.0,vMF-Ours,78.9,0.5,81.6,0.5,0.845,0.010,0.852,0.010
